"Name","OfferType","AcceptToOffers","AcceptToChallengeRewards","AcceptToChallengeFallbackRewards","AcceptToQuestRewards","AcceptToQuestFallbackRewards","IconFrameNumber","MaxResourcePerFrame","ShopItemAsset","ShopItemAssetBig","PopupItemAsset","PopupItemAssetHighlight","MiniOfferAsset","SeparatedSectionOfferAsset","SeparatedSectionTeaseAsset","SeasonalEventOfferAsset","LegendaryOfferAsset","ClubShopItemAsset","OfferAssetSolo","OfferAssetHalf","OfferAssetQuarter","OfferAssetHeroLayout","OfferAssetSoloHighlight","OfferAssetHalfHighlight","OfferAssetQuarterHighlight","OfferAssetHeroLayoutHighlight","SoloOfferBgFrames","BrawlPassAssetPaid","BrawlPassAssetFree","BrawlPassAssetPlus","MasteryTrackAsset","MasterySmallRewardAsset","TrophyRankRewardProfile","SameSizeForCollected","TrophyRewardMediumThreshold","TrophyRewardLargeThreshold","TrophyRankRewardTiny","TrophyRankRewardSmall","TrophyRankRewardMedium","TrophyRankRewardLarge","ChainOfferMiniItemSmall","ChainOfferMiniItemMedium","ChainOfferMiniItemLarge","RankedRewardAsset","RankedGoalAsset","RankedGoalQuestAsset","ClubCollabAsset","RewardDescTID","ChallengeRewardFrame","ChallengeRewardAsset"
"UpgradeMaterial",1,true,true,true,true,true,0,200,"shop_item_resourses_coins",,"shop_popupitem_1",,"shop_item_daily_freebie_coins",,,,"shop_item_resourses_coins","shop_item_resourses_coins","offer_item_coins_big","offer_item_coins_big","offer_item_coins_small","offer_item_coins_big",,,,,"offer_coins","brawlpass_reward_premium_coins","brawlpass_reward_free_coins",,"mastery_reward_coins","mastery_reward_small_coins","reward_profilebutton_1",true,150,9999,"reward_popupitem_collected_1","reward_popupitem_small_1","reward_popupitem_medium_1","reward_popupitem_large_1",,,,,"offer_item_coins_small","offer_item_coins_small","offer_item_coins_small","TID_SHOP_OFFER_TITLE_1","resource","icon_resource_coin"
,,,,,,,1,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gems",16,true,true,true,true,,0,30,"shop_item_resourses_gems","shop_item_resourses_gems_big","shop_popupitem_16",,,,,,"shop_item_resourses_gems","shop_item_resourses_gems","offer_item_gems_big","offer_item_gems_big","offer_item_gems_small","offer_item_gems_big",,,,,"offer_gems","brawlpass_reward_premium_gems","brawlpass_reward_free_gems",,,,"reward_profilebutton_16",,,,,"reward_popupitem_small_16",,,,,,,"offer_item_gems_small","offer_item_gems_small","offer_item_gems_simple","TID_SHOP_OFFER_TITLE_16","resource","icon_resource_gem"
,,,,,,,1,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"StarPoints",17,false,true,,true,,0,500,,,,,"shop_item_daily_freebie_starpoints",,,,,,,,,,,,,,,,,,"mastery_reward_star_points","mastery_reward_small_star_points",,,,,,,,,,,,"rank_reward_star_points","rank_reward_star_points","rank_reward_star_points",,"TID_SHOP_OFFER_TITLE_17","resource","icon_resource_starpt"
,,,,,,,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BrawlPassTokens",28,false,true,,true,,0,30,"shop_item_resourses_gems",,"shop_popupitem_16",,,,,,"shop_item_resourses_gems","shop_item_resourses_gems","offer_item_gems_big","offer_item_gems_big","offer_item_gems_small","offer_item_gems_big",,,,,"offer_gems","brawlpass_reward_premium_gems","brawlpass_reward_free_gems",,,,"reward_profilebutton_16",,,,,,,,,,,,"offer_item_gems_small","offer_item_gems_small","offer_item_gems_small","TID_SHOP_OFFER_TITLE_16","resource","icon_resource_key"
"Emote",19,true,true,,true,,,,,,"shop_popupitem_19",,"shop_item_daily_freebie_pin",,,,,,"offer_item_emote_big","offer_item_emote_big","offer_item_emote_small","offer_item_emote_big",,,,,,"brawlpass_reward_premium_emote","reward_popupitem_small_19",,"mastery_reward_emote","mastery_reward_small_emote",,,,,"reward_popupitem_collected_19","reward_popupitem_small_19",,,,,,,"offer_item_emote_small","offer_item_emote_small","offer_item_emote_small","TID_SHOP_OFFER_TITLE_19","pin","reward_profilebutton_3"
"EmoteBundle",20,true,false,,false,,,,,,"shop_popupitem_emote_bundle","shop_popupitem_22",,,,,,,"offer_item_emote_bundle_big","offer_item_emote_bundle_medium","offer_item_emote_bundle_small","offer_item_emote_bundle_medium","offer_item_emote_bundle_highlight_big","offer_item_emote_bundle_highlight_small","offer_item_emote_bundle_highlight_small","offer_item_emote_bundle_highlight_small","offer_pin_pack","brawlpass_reward_premium_emote_bundle","reward_popupitem_small_20",,,,"reward_popupitem_small_20",,,,"reward_popupitem_collected_20","reward_popupitem_small_20",,"reward_popupitem_small_20",,,,,"offer_item_emote_bundle_small","offer_item_emote_bundle_small","offer_item_emote_bundle_small","TID_SHOP_OFFER_TITLE_20","box","reward_popupitem_small_20"
"RandomEmotes",21,true,false,,false,,,,,,"shop_popupitem_21",,,,,,,,"offer_item_random_emotes_big","offer_item_random_emotes_big","offer_item_random_emotes_small","offer_item_random_emotes_big",,,,,"offer_pin_pack","brawlpass_reward_premium_random_emotes","brawlpass_reward_free_random_emotes",,,,,,,,"reward_popupitem_collected_21","reward_popupitem_small_21",,,,,,,"offer_item_random_emotes_small","offer_item_random_emotes_small","offer_item_random_emotes_small","TID_SHOP_OFFER_TITLE_21","box",
"RandomEmotesForBrawler",22,true,false,,false,,,,,,"shop_popupitem_22",,,,,,,,"offer_item_random_emotes_for_brawler_big","offer_item_random_emotes_for_brawler_big","offer_item_random_emotes_for_brawler_small","offer_item_random_emotes_for_brawler_big",,,,,,,,,,,,,,,"reward_popupitem_collected_22","reward_popupitem_small_22",,,,,,,"offer_item_random_emotes_for_brawler_small","offer_item_random_emotes_for_brawler_small","offer_item_random_emotes_for_brawler_small","TID_SHOP_OFFER_TITLE_22","box",
"RandomEmoteOfRarity",23,true,false,,false,,,,,,"shop_popupitem_24",,,,,,,,"offer_item_random_rarity_emote_big","offer_item_random_rarity_emote_big","offer_item_random_rarity_emote_small","offer_item_random_rarity_emote_big",,,,,"offer_pin_pack",,,,,,,,,,,,,,,,,,"offer_item_random_emote_of_rarity_small","offer_item_random_emote_of_rarity_small","offer_item_random_rarity_emote_small","TID_SHOP_OFFER_TITLE_23","pin",
,,,,,,,,,,,,,,,,,,,,,,,,,,,"offer_pin_pack",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"offer_random_epic",,,,,,,,,,,,,,,,,,,,,,,
"RandomEmotesPackOfRarity",27,true,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TID_SHOP_OFFER_TITLE_27","box",
"PlayerThumbnail",25,true,true,,true,,,,"brawlpass_reward_premium_playericon",,"shop_popupitem_27",,,,,,,,"offer_item_profilepic_big","offer_item_profilepic_big","offer_item_profilepic_small","offer_item_profilepic_big",,,,,,"brawlpass_reward_premium_playericon","brawlpass_reward_premium_playericon",,"mastery_reward_profile_icon","mastery_reward_small_profile_icon","brawlpass_reward_premium_playericon",,,,,,,,,,,"item_player_thumbnail","item_player_thumbnail","item_player_thumbnail","offer_item_profilepic_small","TID_REWARD_DESC_PLAYER_ICON_REGULAR","resource","reward_profilebutton_3"
"GuaranteedBox",2,false,false,,false,,,,"shop_item_brawler",,"shop_popupitem_2",,,,,,"shop_item_brawler","shop_item_brawler","offer_item_guarantee_brawler_big","offer_item_guarantee_brawler_big","offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_big",,,,,,,,,,,,,,,,,,,,,,,"offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_small",,,
"GuaranteedHero",3,true,true,,true,,,,,,"shop_popupitem_3",,,,,,,,"offer_item_brawler_big","offer_item_brawler_small","offer_item_skin_small","offer_item_skin_big",,,,,,"brawlpass_reward_premium_brawler","offer_item_skin_small",,,,"reward_profilebutton_3",,,,"reward_popupitem_collected_3",,,"reward_popupitem_large_3","offer_item_portrait_small","offer_item_portrait_big","offer_item_portrait_big",,"offer_item_skin_small","offer_item_skin_small","collab_offer_item_skin_small",,"brawler","reward_profilebutton_3"
"Skin",4,true,true,,false,,,,,,"shop_popupitem_4",,,"shop_item_skins","shop_item_skins_coming_soon","shop_item_event_skins","shop_item_legendary_skins","shop_item_skins","offer_item_brawler_big","offer_item_brawler_small","offer_item_skin_small","offer_item_skin_big",,,,,,"brawlpass_reward_premium_brawler","offer_item_skin_small",,,,"reward_profilebutton_3",,,,,,,"reward_popupitem_large_4","offer_item_skin_small","offer_item_skin_big","chain_offer_item_brawler_big",,"offer_item_skin_small","offer_item_skin_small","collab_offer_item_skin_small",,"skin","reward_profilebutton_3"
"SkinAndHero",24,false,true,,false,,,,,,"shop_popupitem_4",,,"shop_item_skins","shop_item_skins_coming_soon","shop_item_event_skins","shop_item_legendary_skins","shop_item_skins","offer_item_brawler_big","offer_item_brawler_small","offer_item_skin_small","offer_item_skin_big",,,,,,"brawlpass_reward_premium_brawler","offer_item_skin_small",,,,"reward_profilebutton_3",,,,,,,"reward_popupitem_large_3","offer_item_skin_small","offer_item_skin_big","chain_offer_item_brawler_big",,"offer_item_skin_small","offer_item_skin_small","collab_offer_item_skin_small",,"skin","reward_profilebutton_3"
"PurchaseOptionSkin",26,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rank_midseason_reward_item",,,"TID_REWARD_DESC_PURCHASE_OPTION_SKIN","brawler",
"Item",5,true,false,,true,,,,,,"shop_popupitem_5",,,,,,,,"offer_item_star_power_big","offer_item_star_power_big","offer_item_star_power_small","offer_item_star_power_big",,,,,,,,,,,,,,,,,,,,,,,"offer_item_star_power_small","offer_item_star_power_small","offer_item_star_power_small",,"resource",
"ClubFeature",29,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,"reward_popupitem_large_13",,,,,"reward_profilebutton_13",,,,,,,"reward_popupitem_large_13",,,,,,,,,,"reward_profilebutton_13"
"GuaranteedHeroWithLevel",30,true,false,,false,,,,,,"shop_popupitem_3",,,,,,,,"offer_item_brawler_big","offer_item_brawler_small","offer_item_skin_small","offer_item_brawler_small",,,,,,"brawlpass_reward_premium_brawler","offer_item_skin_small",,,,"reward_profilebutton_3",,,,,,,"reward_popupitem_large_3","offer_item_portrait_small","offer_item_portrait_big","offer_item_portrait_big",,"offer_item_skin_small","offer_item_skin_small","offer_item_skin_small",,"brawler","reward_profilebutton_3"
"GuaranteedBoxWithLevel",31,false,false,,false,,,,"shop_item_brawler",,"shop_popupitem_2",,,,,,"shop_item_brawler","shop_item_brawler","offer_item_guarantee_brawler_big","offer_item_guarantee_brawler_big","offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_big",,,,,,,,,,,,,,,,,,,,,,,"offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_small","offer_item_guarantee_brawler_small",,,
"GearToken",32,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GearScrap",33,false,false,,false,,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spray",35,true,true,,true,,,,,,"shop_popupitem_26",,,,,,,,"offer_item_spray_big","offer_item_spray_big","offer_item_spray_small","offer_item_spray_big",,,,,,"brawlpass_reward_premium_spray","brawlpass_reward_premium_spray",,"mastery_reward_spray","mastery_reward_small_spray",,,,,,,,,,,,,"offer_item_spray_small","offer_item_spray_small","offer_item_spray_small","TID_SHOP_OFFER_TITLE_35","spray",
"SprayBundle",36,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,"reward_popupitem_large_36","reward_popupitem_small_36",,,,"reward_profilebutton_36",,,,"reward_popupitem_collected_36","reward_popupitem_small_36",,"reward_popupitem_large_36",,,,,,,,,,
"SpraySlot",37,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,"reward_popupitem_large_37","reward_popupitem_small_37",,,,"reward_profilebutton_37",,,,"reward_popupitem_collected_37","reward_popupitem_small_37",,"reward_popupitem_large_37",,,,,,,,,,
"QuestsFeature",18,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,"reward_profilebutton_18",,,,"reward_popupitem_collected_18","reward_popupitem_small_18",,,,,,,,,,,,
"RecruitToken",38,true,true,true,true,,0,50,"shop_item_resourses_recruit_tokens",,"shop_popupitem_38",,"shop_item_daily_freebie_recruit_tokens",,,,"shop_item_resourses_recruit_tokens","shop_item_resourses_recruit_tokens","offer_item_recruit_tokens_big","offer_item_recruit_tokens_big","offer_item_recruit_tokens_small","offer_item_recruit_tokens_big",,,,,"offer_recruit_tokens","brawlpass_reward_premium_recruit_tokens","brawlpass_reward_free_recruit_tokens",,"mastery_reward_recruit_tokens","mastery_reward_small_recruit_tokens","reward_profilebutton_38",true,100,900,"reward_popupitem_collected_38","reward_popupitem_small_38","reward_popupitem_small_38","reward_popupitem_large_38",,,,,"offer_item_recruit_tokens_small","offer_item_recruit_tokens_small","offer_item_recruit_tokens_small","TID_SHOP_OFFER_TITLE_38","resource","icon_resource_recruit_token"
,,,,,,,1,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ChromaticToken",39,true,true,,true,,0,50,"shop_item_resourses_chromatic_coins",,"shop_popupitem_39",,"shop_item_daily_freebie_chromatic_coins",,,,"shop_item_resourses_chromatic_coins","shop_item_resourses_chromatic_coins","offer_item_chromatic_coins_big","offer_item_chromatic_coins_big","offer_item_chromatic_coins_small","offer_item_chromatic_coins_big",,,,,"offer_chromatic_coins","brawlpass_reward_premium_chromatic_coins","brawlpass_reward_free_chromatic_coins",,"mastery_reward_chromatic_coins","mastery_reward_small_chromatic_coins","reward_profilebutton_39",true,100,900,"reward_popupitem_collected_39","reward_popupitem_small_39","reward_popupitem_small_39","reward_popupitem_large_39",,,,,"offer_item_chromatic_coins_small","offer_item_chromatic_coins_small","offer_item_chromatic_coins_small","TID_SHOP_OFFER_TITLE_39","resource","icon_resource_chromatic_coin"
,,,,,,,1,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerPoints",41,true,true,true,true,,0,200,"shop_item_resourses_generic_power_points",,"shop_popupitem_12",,"shop_item_daily_freebie_powerpoints",,,,"shop_item_resourses_generic_power_points","shop_item_resourses_power_points","offer_item_generic_power_points_big","offer_item_generic_power_points_big","offer_item_generic_power_points_small","offer_item_generic_power_points_big",,,,,"offer_chromatic_coins","brawlpass_reward_premium_power_points","brawlpass_reward_free_power_points",,"mastery_reward_power_points","mastery_reward_small_power_points","reward_profilebutton_12",true,75,900,"reward_popupitem_collected_12","reward_popupitem_small_12","reward_popupitem_small_12","reward_popupitem_large_12",,,,,"offer_item_generic_power_points_small","offer_item_generic_power_points_small","offer_item_generic_power_points_small","TID_SHOP_OFFER_TITLE_41","resource","icon_resource_powerpoints"
"BrawlPassTailReward",42,false,false,,false,,0,,"shop_item_resourses_boxes",,"shop_popupitem_10",,,,,,"shop_item_resourses_boxes","shop_item_resourses_boxes","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards",,,,,"offer_recruit_tokens","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_random_reward",,,"reward_profilebutton_50",,,,"reward_popupitem_collected_10",,,"reward_popupitem_large_10",,,,,"brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards","brawlpass_reward_premium_tail_rewards",,"box","reward_profilebutton_42"
"PlayerTitle",43,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,"brawlpass_reward_premium_title","brawlpass_reward_premium_title",,"mastery_reward_title","mastery_reward_small_title",,,,,,,,,,,,,,,,"TID_SHOP_OFFER_TITLE_43",,
"DailyQuests",44,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,"reward_profilebutton_18",,,,"reward_popupitem_collected_41","reward_popupitem_small_41",,,,,,,,,,,,
"Bling",45,true,true,true,true,,0,500,,,"shop_popupitem_45",,"shop_item_daily_freebie_cosmetic_coins",,,,,,"offer_item_cosmetic_coins_big","offer_item_cosmetic_coins_big","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_big",,,,,,"brawlpass_reward_premium_cosmetic_coins","brawlpass_reward_free_cosmetic_coins",,"mastery_reward_cosmetic_coins","mastery_reward_small_cosmetic_coins","reward_profilebutton_45",true,75,350,"reward_popupitem_collected_45","reward_popupitem_small_45","reward_popupitem_small_45","reward_popupitem_large_45",,,,"rank_reward_cosmetic_coins","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","TID_SHOP_OFFER_TITLE_45","resource","icon_resource_cosmetic_coins"
,,,,,,,1,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BrawlPassBundle",46,true,true,,true,,0,200,,,"shop_popupitem_45",,"shop_item_daily_freebie_cosmetic_coins",,,,,,"offer_item_cosmetic_coins_big","offer_item_cosmetic_coins_big","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_big",,,,,,"brawlpass_reward_premium_cosmetic_coins","brawlpass_reward_free_cosmetic_coins",,"mastery_reward_cosmetic_coins","mastery_reward_small_cosmetic_coins","reward_profilebutton_45",true,75,1500,"reward_popupitem_collected_45","reward_popupitem_small_45","reward_popupitem_small_45","reward_popupitem_large_45",,,,,"offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","TID_SHOP_OFFER_TITLE_46","resource","icon_resource_cosmetic_coins"
"OverchargeStarrDrop",47,true,true,true,true,,0,200,,,"shop_popupitem_47",,,,,,,,"offer_item_overcharge_star_big","offer_item_overcharge_star_big","offer_item_overcharge_star_small","offer_item_overcharge_star_big",,,,,,"brawlpass_reward_premium_random_reward","brawlpass_reward_free_random_reward",,,,"reward_profilebutton_50",true,,,"reward_popupitem_collected_50","reward_popupitem_small_50","reward_popupitem_small_50","reward_popupitem_large_50",,,,,"offer_item_overcharge_star_small","offer_item_overcharge_star_small","offer_item_overcharge_star_small","TID_SHOP_OFFER_TITLE_47","resource","icon_resource_random_reward_overcharge"
"BrawlerUpgradeFromLevelToLevel",48,true,false,,false,,,,,,"shop_popupitem_48",,,,,,,,"offer_item_brawler_level_up_small","offer_item_brawler_level_up_small","offer_item_brawler_level_up_small","offer_item_brawler_level_up_small",,,,,,,,,,,,,,,,,,,,,,,,,,"TID_SHOP_OFFER_TITLE_48",,
"StarrDropContainer",49,true,true,,true,,,,,,"shop_popupitem_47",,,,,,,,"offer_item_random_reward_big","offer_item_random_reward_big","offer_item_random_reward_small","offer_item_random_reward_big",,,,,,"brawlpass_reward_premium_random_reward","brawlpass_reward_free_random_reward",,,,"reward_profilebutton_50",,,,"reward_popupitem_collected_50","reward_popupitem_small_50","reward_popupitem_small_50","reward_popupitem_large_50",,,,,"offer_item_random_reward_small","offer_item_random_reward_small","collab_club_reward_milestone_random_reward","TID_SHOP_OFFER_TITLE_49","resource","icon_resource_random_reward"
"RandomStarrDrop",50,true,true,true,true,,,,,,"shop_popupitem_50",,,,,,,,"offer_item_random_reward_big","offer_item_random_reward_big","offer_item_random_reward_small","offer_item_random_reward_big",,,,,,"brawlpass_reward_premium_random_reward","brawlpass_reward_free_random_reward",,,,"reward_profilebutton_50",true,75,350,"reward_popupitem_collected_50","reward_popupitem_small_50","reward_popupitem_small_50","reward_popupitem_large_50",,,,,"offer_item_random_reward_small","offer_item_random_reward_small","collab_club_reward_milestone_random_reward","TID_SHOP_OFFER_TITLE_50","resource","icon_resource_random_reward"
"BrawlPassUnlockBrawler",51,false,false,,false,,,,,,"brawlpass_reward_premium_brawler_unlock_any",,,,,,,,"brawlpass_reward_premium_brawler_unlock_any","brawlpass_reward_premium_brawler_unlock_any","brawlpass_reward_premium_brawler_unlock_any","brawlpass_reward_premium_brawler_unlock_any",,,,,,"brawlpass_reward_premium_brawler_unlock_any","brawlpass_reward_premium_brawler_unlock_any",,,,"reward_profilebutton_42",,,,,,,,,,,,,,,,,
"BrawlPassPlusBundle",52,true,true,,true,,0,200,,,"shop_popupitem_45",,"shop_item_daily_freebie_cosmetic_coins",,,,,,"offer_item_cosmetic_coins_big","offer_item_cosmetic_coins_big","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_big",,,,,,"brawlpass_reward_premium_cosmetic_coins","brawlpass_reward_free_cosmetic_coins",,"mastery_reward_cosmetic_coins","mastery_reward_small_cosmetic_coins","reward_profilebutton_45",true,75,1500,"reward_popupitem_collected_45","reward_popupitem_small_45","reward_popupitem_small_45","reward_popupitem_large_45",,,,,"offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","offer_item_cosmetic_coins_small","TID_SHOP_OFFER_TITLE_52","resource","icon_resource_cosmetic_coins"
"RandomCollabDrop",53,true,false,,false,,0,1,,,"shop_popupitem_53",,,,,,,,"offer_item_collab_gacha_big","offer_item_collab_gacha_big","offer_item_collab_gacha_big","offer_item_collab_gacha_big",,,,,,,,,,,,,,,,,,,,,,,,,,"TID_SHOP_OFFER_TITLE_53","resource","icon_resource_random_reward"
,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
